PHASE	TESS
whites	whites
were	were
alike	alike
among	among
them	them
Some	Some
approached	approached
pure	pure
blanching	blanching
some	some
had	had
a	a
bluish	bluish
pallor	pallor
some	some
worn	worn
by	by
the	the
older	older
characters	characters
which	which
had	had
possibly	possibly
lain	lain
by	by
folded	folded
for	for
many	many
ayiear	a
inclinedtoacadaveroustintandtoaGeorgian	year
sty	inclined
e	to
null	a
null	cadaverous
null	tint
null	and
null	to
null	a
null	Georgian
null	style
In	In
addition	addition
to	to
the	the
distinction	distinction
of	of
a	a
white	white
frock	frock
every	every
woman	woman
and	and
girl	girl
carried	carried
in	in
her	her
right	right
hand	hand
a	a
peeled	peeled
willow	willow
wand	wand
and	and
in	in
her	her
left	left
a	a
bunch	bunch
of	of
white	white
ﬂowers	flowers
The	The
peeling	peeling
of	of
the	the
former	former
and	and
the	the
selection	selection
of	of
the	the
latter	latter
had	had
been	been
an	an
operation	operation
of	of
personal	personal
cane	care
There	There
were	were
a	a
few	few
middleaged	middleaged
and	and
even	even
elderly	elderly
women	women
in	in
the	the
train	train
their	their
silverwiry	silverwiry
hair	hair
and	and
wrinkled	wrinkled
faces	faces
soourged	scourged
by	by
time	time
and	and
trouble	trouble
having	having
almost	almost
a	a
grotesque	grotesque
certainly	certainly
a	a
pathetic	pathetic
appearance	appearance
in	in
such	such
a	a
jaunty	jaunty
situation	situation
In	In
a	a
true	true
view	view
perhaps	perhaps
there	there
was	was
moretobegatheredandtoldofeaohanxiousand	more
null	to
null	be
null	gathered
null	and
null	told
null	of
null	each
null	anxious
null	and
experienced	experienced
one	one
to	to
whom	whom
the	the
years	years
were	were
drawing	drawing
nigh	nigh
when	when
she	she
should	should
say	say
‘I	I
have	have
no	no
pleasure	pleasure
in	in
them’	them
than	than
of	of
her	her
juvenile	juvenile
comrades	comrades
But	But
let	let
the	the
elder	elder
be	be
null	passed
over	over
here	here
for	for
those	those
under	under
whose	whose
bodices	bodices
the	the
life	life
throbbed	throbbed
quick	quick
and	and
warm	warm
The	The
young	young
girls	girls
formed	formed
indeed	indeed
the	the
majority	majority
of	of
the	the
band	band
and	and
their	their
heads	heads
of	of
luxuriant	luxuriant
hair	hair
reﬂected	reflected
in	in
the	the
sunshine	sunshine
every	every
tone	tone
of	of
gold	gold
and	and
black	black
and	and
brown	brown
Some	Some
had	had
beautiful	beautiful
eyes	eyes
others	others
a	a
beautiful	beautiful
I	nose
TESS	others
OF	a
THE	beautiful
D’URBERVILLES	mouth
nose	and
others	figure
a	few
beautiful	if
mouth	any
and	had
ﬁgure	all
few	A
if	difficulty
any	of
hadall	arranging
Adiﬂicultyofarrangingtheirlipsinthis	their
null	lips
null	in
null	this
crude	crude
exposure	exposure
to	to
public	public
scrutiny	scrutiny
an	an
inability	inability
to	to
balance	balance
their	their
heads	heads
and	and
to	to
dissociate	dissociate
self—consciousness	selfconsciousness
from	from
their	their
features	features
was	was
apparent	apparent
in	in
them	them
and	and
showed	showed
that	that
they	they
were	were
genuine	genuine
country	country
girls	girls
unaccustomed	unaccustomed
to	to
many	many
eyes	eyes
And	And
as	as
each	each
and	and
all	all
of	of
them	them
were	were
warmed	warmed
without	without
by	by
the	the
sun	sun
so	so
each	each
had	had
a	a
private	private
little	little
sun	sun
for	for
her	her
soul	soul
to	to
bask	bask
in	in
some	some
dream	dream
some	some
aﬁection	affection
some	some
hobby	hobby
at	at
least	least
some	some
remote	remote
and	and
distant	distant
hope	hope
which	which
though	though
perhaps	perhaps
starving	starving
to	to
nothing	nothing
still	still
lived	lived
on	on
as	as
hopes	hopes
will	will
Thus	They
they	null
were	were
all	all
cheerful	cheerful
and	and
many	many
of	of
them	them
merry	merry
They	They
came	came
round	round
by	by
The	The
Pure	Pure
Drop	Drop
Inn	Inn
and	and
wereturningoutofthehighroadtopassthrougha	were
wicdketgate	turning
null	out
null	of
null	the
null	high
null	road
null	to
null	pass
null	through
null	a
null	wicketgate
into	into
the	the
meadows	meadows
when	when
one	one
of	of
the	the
women	women
sad	said
‘The	The
LordaLord	LoadaLord
Why	Why
Tess	Tess
Durbeyﬁeld	Durbeyfield
if	if
there	there
isnt	isnt
thy	thy
father	father
riding	riding
hwome	hwome
in	in
a	a
carriage	carriage
A	A
young	young
member	member
of	of
the	the
band	band
turned	turned
her	her
head	head
at	at
the	the
exclamation	exclamation
She	She
was	was
a	a
ﬁne	fine
and	and
handsome	handsome
girl	girlnot
—not	null
handsomer	handsomer
than	than
some	some
others	others
possibly—but	possiblybut
her	her
mobile	mobile
peony	peony
mouth	mouth
and	and
large	large
innocent	innocent
eyes	eyes
added	added
eloquence	eloquence
to	to
colour	colour
and	and
shape	shape
She	She
wore	wore
a	a
red	red
ribbon	ribbon
in	in
her	her
hair	hair
and	and
was	was
the	the
only	only
one	one
of	of
the	the
white	white
company	company
who	who
could	could
boast	boast
of	of
such	such
a	a
pronounced	pronounced
adornment	adornment
As	As
she	she
looked	looked
round	round
Durbeyﬁeld	Durbeyfield
was	was
seen	seen
moving	moving
along	along
the	the
road	road
in	in
a	a
chaise	chaise
belonging	belonging
to	to
The	The
Pure	Pure
Drop	Drop
driven	driven
by	by
a	a
frizzleheaded	frizzleheaded
brawny	brawny
damsel	damsel
with	with
her	her
gownsleeves	gownsleeves
rolled	rolled
above	above
her	her
elbows	elbows
This	This
was	was
the	the
cheerful	cheerful
servant	servant
of	of
that	that
establishment	establishment
who	who
in	in
her	her
part	part
of	of
factotum	factotum
turned	turned
groom	groom
and	and
ostlet	ostler
at	at
times	times
Durbeyﬁeld	Durbeyfield
leaning	leaning
back	back
and	and
with	with
his	his
eyes	eyes
closed	closed
luxuriously	luxuriously
was	was
waving	waving
his	his
hand	hand
above	above
his	his
head	head
and	and
singing	singing
in	in
a	a
slow	slow
recitative—	recitative
‘I’vegot—agrtfamilyvault—atKingsbere—and	IvegotagrtfamilyvaultatKingsbereand
hightedforefathers—in—leadcofﬁns—therel	knightedforefathersinleadcoffinsthere
The	The
clubbists	clubbists
tittered	tittered
except	except
the	the
girl	girl
called	called
Tess	Tessin
12	null
THE	null
MAIDEN	null
—in	null
whom	whom
a	a
slow	slow
heat	heat
seemed	seemed
to	to
rise	rise
at	at
the	the
sense	sense
that	that
her	her
father	father
was	was
making	making
himself	himself
foolish	foolish
in	in
their	their
eyes	eyes
‘Hes	Hes
tired	tired
that’s	thats
all’	all
she	she
said	said
hastily	hastily
‘and	and
he	he
hasgotalifthomebecauseourownhorsehastorest	has
to—day’	got
‘Bless	a
null	lift
null	home
null	because
null	our
null	own
null	horse
null	has
null	to
null	rest
null	today
null	Bless
thy	thy
simplicity	simplicity
Tess’	Tess
said	said
her	her
companions	companions
‘Hes	Hes
got	got
his	his
marketnitch	marketnitch
Hawhaw’	Hawhaw
‘Look	Look
here	here
I	I
won’t	wont
walk	walk
another	another
inch	inch
with	with
you	you
if	if
you	you
say	say
any	any
jokes	jokes
about	about
him’	him
Tess	Tess
cried	cried
and	and
the	the
colour	colour
upon	upon
her	her
cheeks	cheeks
spread	spread
over	over
her	her
face	face
and	and
neck	neck
In	In
a	a
moment	moment
her	her
eyes	eyes
grew	grew
moist	moist
and	and
her	her
glance	glance
drooped	drooped
to	to
the	the
ground	ground
Perceiving	Perceiving
that	that
they	they
had	had
really	really
pained	pained
her	her
they	they
said	said
no	no
more	more
and	and
order	order
again	again
prevailed	prevailed
Tess’s	Tesss
pride	pride
would	would
not	not
allow	allow
her	her
to	to
turn	turn
her	her
head	head
again	again
to	to
learn	learn
what	what
her	her
fathers	fathers
meaning	meaning
was	was
if	if
he	he
had	had
any	any
and	and
thus	thus
she	she
moved	moved
on	on
with	with
the	the
whole	whole
body	body
to	to
the	the
enclosure	enclosure
where	where
there	there
was	was
to	to
be	be
dancing	dancing
on	on
the	the
green	green
By	By
the	the
time	time
the	the
spot	spot
was	was
reached	reached
she	she
had	has
recovered	recovered
her	her
equanimity	equanimity
and	and
tapped	tapped
her	her
neighbour	neighbour
with	with
her	her
wand	wand
and	and
talked	talked
as	as
usual	usual
Tess	Tess
Durbeyﬁeld	Durbeyfield
at	at
this	this
time	time
of	of
her	her
life	life
was	was
a	a
mere	mere
vessel	vessel
of	of
emotion	emotion
untinctured	untinctured
by	by
experience	experience
The	The
dialect	dialect
was	was
on	on
her	her
tongue	tongue
to	to
some	some
extent	extent
despite	despite
the	the
village	village
school	school
the	the
characteristic	characteristic
intonation	intonation
of	of
that	that
dialect	dialect
for	for
this	this
district	district
being	being
the	the
voicing	voicing
approximately	approximately
rendered	rendered
by	by
the	the
syllable	syllable
UR	UR
probably	probably
as	as
rich	rich
an	an
utterance	utterance
as	as
any	any
to	to
be	be
found	found
in	in
human	human
speech	speech
The	The
poutedup	poutedup
deep	deep
red	red
mouth	mouth
to	to
which	which
this	this
syllable	syllable
was	was
native	native
had	had
hardly	hardly
as	as
yet	yet
settled	settled
into	into
its	its
deﬁnite	definite
shape	shape
and	and
her	her
lower	lower
lip	lip
had	had
a	a
way	way
of	of
thrusting	thrusting
the	the
middle	middle
of	of
her	her
g	top
one	one
upward	upward
when	when
they	they
closed	closed
together	together
after	after
a	a
w	word
Phases	Phases
of	of
her	her
childhood	childhood
lurked	lurked
in	in
her	her
aspect	aspect
still	still
As	As
she	she
walked	walked
along	along
today	today
for	for
all	all
her	her
bouncing	bouncing
handsome	handsome
womanliness	womanliness
you	you
could	could
sometimes	sometimes
see	see
her	her
twelfth	twelfth
year	year
in	in
her	her
cheeks	cheeks
or	or
her	her
ninth	ninth
sparkling	sparkling
from	from
her	her
eyes	eyes
and	and
even	even
her	her
ﬁfth	fifth
would	would
ﬂit	flit
over	over
the	the
curves	curves
of	of
her	her
mouth	mouth
now	now
and	and
then	then
‘3	null
TESS	null
OF	null
THE	null
D’URBERVILLES	null
Yet	Yet
few	few
knew	knew
and	and
still	still
fewer	fewer
considered	considered
this	this
A	A
small	small
minority	minority
mainly	mainly
strangers	strangers
would	would
look	look
long	long
at	at
her	her
in	in
casually	casually
passing	passing
by	by
and	and
grow	grow
momentarily	momentarily
fascinated	fascinated
by	by
her	her
freshnes	freshness
and	and
wonder	wonder
if	if
they	they
would	would
ever	ever
see	see
her	her
again	again
but	but
to	to
almost	almost
everybody	everybody
she	she
was	was
a	a
ﬁne	fine
and	and
picturesque	picturesque
country	country
girl	girl
and	and
no	no
more	more
Nothing	Nothing
was	was
seen	seen
or	or
heard	heard
further	further
of	of
Durbeyﬁeld	Durbeyfield
in	in
his	his
triumphal	triumphal
chariot	chariot
under	under
the	the
conduct	conduct
of	of
the	the
ostleress	ostleress
and	and
the	the
club	club
having	having
entered	entered
the	the
allotted	allotted
space	space
dancing	dancing
began	began
As	As
there	there
were	were
no	no
men	men
in	in
the	the
company	company
the	the
girls	girls
danced	danced
at	at
ﬁrst	first
with	with
each	each
other	other
but	but
when	when
the	the
hour	hour
for	for
the	the
close	close
of	of
labour	labour
drew	drew
on	on
the	the
masculine	masculine
inhabitants	inhabitants
of	of
the	the
village	village
together	together
with	with
other	other
idlers	idlers
and	and
pedestrians	pedestrians
gathered	gathered
round	round
the	the
spot	spot
and	and
appeared	appeared
inclined	inclined
to	to
negotiate	negotiate
for	for
a	a
partner	partner
Among	Among
these	these
onlookers	onlookers
were	were
three	three
young	young
men	men
of	of
a	a
superior	superior
class	class
carrying	carrying
small	small
knapsacks	knapsacks
strapped	strapped
to	to
their	their
shoulders	shoulders
and	and
stout	stout
sticks	sticks
in	in
their	their
hands	hands
Their	Their
general	general
likeness	likeness
to	to
each	each
other	other
and	and
their	their
consecutive	consecutive
ages	ages
would	would
almost	almost
have	have
suggested	suggested
that	that
they	they
might	might
be	be
what	what
in	in
fact	fact
they	they
were	were
brothers	brothers
The	The
eldest	eldest
wore	wore
the	the
white	white
tie	tie
high	high
waistcoat	waistcoat
and	and
thinbrimmed	thinbrimmed
hat	hat
of	of
the	the
regulation	regulation
curate	curate
the	the
second	second
was	was
the	the
normal	normal
undergraduate	undergraduate
the	the
appearance	appearance
of	of
the	the
third	third
and	and
youngest	youngest
would	would
hardly	hardly
have	have
been	been
sufﬁcient	sufficient
to	to
characterize	characterize
him	him
there	there
was	was
an	an
uncribbed	uncribbed
uncabined	uncabined
aspect	aspect
in	in
his	his
eyes	eyes
and	and
attire	attire
implying	implying
that	that
he	he
had	had
hardly	hardly
as	as
yet	yet
found	found
the	the
entrance	entrance
to	to
his	his
professional	professional
groove	groove
That	That
he	he
was	was
a	a
desultory	desultory
tentative	tentative
student	student
of	of
something	something
and	and
everything	everything
might	might
only	only
have	have
been	been
predicted	predicted
of	of
him	him
These	These
three	three
brethren	brethren
told	told
casual	casual
acquaintance	acquaintance
that	that
they	they
were	were
spending	spending
their	their
Whitsun	Whitsun
holidays	holidays
in	in
a	a
walking	walking
tour	tour
through	through
the	the
Vale	Vale
of	of
Blackmoor	Blackmoor
their	their
course	course
being	being
southwesterly	southwesterly
from	from
the	the
town	town
of	of
Shaston	Shaston
on	on
the	the
northeast	northeast
They	They
leant	leant
over	over
the	the
gate	gate
by	by
the	the
highway	highway
and	and
inquired	inquired
as	as
to	to
the	the
meaning	meaning
of	of
the	the
dance	dance
and	and
the	the
whitefrocked	whitefrocked
maids	maids
The	The
two	two
elder	elder
of	of
the	the
brothers	brothers
were	were
plainly	plainly
not	not
intending	intending
to	to
linger	linger
more	more
than	than
a	a
moment	moment
4	null
THE	null
MAIDEN	null
but	but
the	the
spectacle	spectacle
of	of
a	a
bevy	bevy
of	of
girls	girls
dancing	dancing
without	without
male	male
partners	partners
seemed	seemed
to	to
amuse	amuse
the	the
third	third
and	and
make	make
him	him
in	in
no	no
hurry	hurry
to	to
move	move
on	on
He	He
unstrapped	unstrapped
his	his
knapsack	knapsack
put	put
it	it
with	with
his	his
stick	stick
on	on
the	the
hedgebank	hedgebank
and	and
opened	opened
the	the
gate	gate
eléWhat	What
are	are
you	you
going	going
to	to
do	do
Angel’	Angel
asked	asked
the	the
est	eldest
‘1	I
am	am
inclined	inclined
to	to
go	go
and	and
have	have
a	a
ﬂing	fling
with	with
them	them
Why	Why
not	not
all	all
of	of
usjust	usjust
for	for
a	a
minute	minute
or	or
two—it	twoit
will	will
not	not
detain	detain
us	us
long’	long
‘No—no	Nono
nonsense‘	nonsense
said	said
the	the
ﬁrst	first
‘Dancing	Dancing
in	in
public	public
with	with
a	a
troop	troop
of	of
country	country
hoydens—suppose	hoydenssuppose
we	we
should	should
be	be
seen	seen
Come	Come
along	along
or	or
it	it
will	will
be	be
dark	dark
before	before
we	we
get	get
to	to
Stourcastle	Stourcastle
and	and
there’s	theres
no	no
place	place
we	we
can	can
sleep	sleep
at	at
nearer	nearer
than	than
that	that
besides	besides
we	we
must	must
get	get
through	through
another	another
chapter	chapter
of	of
A	A
Cwnterblast	Counterblast
to	to
Agnosticism	Agnosticism
before	before
Satyrn	we
null	turn
in	in
now	now
I	I
have	have
taken	taken
the	the
trouble	trouble
to	to
bring	bring
the	the
‘All	book
null	All
rightIll	rightIll
overtake	overtake
you	you
and	and
Cuthbert	Cuthbert
in	in
ﬁve	five
minutes	minutes
don’t	dont
stop	stop
I	I
give	give
my	my
word	word
that	that
I	I
will	will
Felix’	Felix
The	The
two	two
elder	elder
reluctantly	reluctantly
left	left
him	him
and	and
walked	walked
on	on
taking	taking
their	their
brothers	brothers
knapsack	knapsack
to	to
relieve	relieve
him	him
in	in
following	following
and	and
the	the
youngest	youngest
entered	entered
the	the
ﬁeld	field
‘This	This
is	is
a	a
thousand	thousand
pities’	pities
he	he
said	said
gallantly	gallantly
to	to
two	two
orthreeofthegirlsnearesthimassoonastherewas	or
null	three
null	of
null	the
null	girls
null	nearest
null	him
null	as
null	soon
null	as
null	there
null	was
a	a
pause	pause
in	in
the	the
dance	dance
‘Where	Where
are	are
your	your
partners	partners
my	my
dears’	dears
‘They’ve	Theyve
not	not
left	left
oﬂ	off
work	work
yet’	yet
answered	answered
one	one
of	of
the	the
boldest	boldest
‘They’ll	Theyll
be	be
here	here
by	by
and	and
by	by
Till	Till
then	then
will	will
you	you
be	be
one	one
sir’	sir
‘Certainly	Certainly
But	But
what’s	whats
one	one
among	among
so	so
many’	many
‘	null
Better	Better
than	than
none	none
Tis	Tis
melancholy	melancholy
work	work
facing	facing
and	and
footing	footing
it	it
to	to
one	one
of	of
your	your
own	own
sort	sort
and	and
no	no
clipsing	clipsing
and	and
calling	colling
at	at
all	all
Now	Now
pick	pick
and	and
choose’	choose
Ssh—don’t	Sshdont
be	be
so	so
for’ard’	forard
said	said
a	a
shyer	shyer
girl	girl
The	The
young	young
man	man
thus	thus
invited	invited
glanced	glanced
them	them
over	over
and	and
attempted	attempted
some	some
discrimination	discrimination
but	but
as	as
the	the
group	group
wereallsonewtohim	were
hecouldnotverywellexercise	all
I5	so
TESS	new
OF	to
THE	him
DURBERVILLES	he
null	could
null	not
